Date,AAPL,ADBE,AMZN,BRK-B,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PFE,PG,PYPL,TSLA,UNH,V,XOM
2022-01-03,179.2736053466797,564.3699951171875,170.4044952392578,300.7900085449219,108.47059631347656,155.533203125,144.82528686523438,382.8524475097656,49.35048294067383,159.71217346191406,149.57611083984375,54.96491241455078,364.92919921875,337.84576416015625,326.9408264160156,597.3699951171875,30.075632095336914,161.25926208496094,50.231380462646484,152.14230346679688,194.94000244140625,399.9266662597656,484.5989074707031,216.7935333251953,57.61799621582031
2022-01-04,176.9983673095703,554.0,167.52200317382812,308.5299987792969,110.44427490234375,154.51126098632812,144.2339630126953,386.7873840332031,49.285560607910156,159.2838897705078,155.24652099609375,55.882537841796875,369.297119140625,335.8398742675781,321.3347473144531,591.1500244140625,29.245880126953125,161.49232482910156,48.351585388183594,152.6746826171875,191.13999938964844,383.1966552734375,473.6195068359375,217.802001953125,59.785247802734375
2022-01-05,172.29019165039062,514.4299926757812,164.35699462890625,309.9200134277344,111.1628189086914,153.9755096435547,137.61705017089844,381.54083251953125,49.962615966796875,160.34532165527344,152.4082794189453,56.34598922729492,367.831298828125,323.5052490234375,308.9994201660156,567.52001953125,27.56242561340332,162.04234313964844,49.32695007324219,153.36585998535156,187.16000366210938,362.7066650390625,472.4521789550781,215.3935089111328,60.5288200378418
2022-01-06,169.4141082763672,514.1199951171875,163.25399780273438,313.2200012207031,112.10872650146484,155.67210388183594,137.58958435058594,380.1542053222656,50.09246063232422,159.7959747314453,154.0274658203125,56.049381256103516,364.4722595214844,331.7781982421875,306.55767822265625,553.2899780273438,28.135560989379883,162.0796356201172,48.6264533996582,152.0769500732422,192.27000427246094,354.8999938964844,453.1175842285156,215.1487274169922,61.9525032043457
2022-01-07,169.58154296875,510.70001220703125,162.5540008544922,319.7799987792969,113.71859741210938,156.59483337402344,136.85992431640625,368.77093505859375,49.56380081176758,161.95602416992188,155.5535888671875,55.919620513916016,364.12744140625,331.1095886230469,306.7138977050781,541.0599975585938,27.205963134765625,162.28472900390625,49.40674591064453,151.99290466308594,187.60000610351562,342.32000732421875,442.4565124511719,212.41714477539062,62.46031188964844
2022-01-10,169.60125732421875,525.8300170898438,161.48599243164062,318.92999267578125,113.79136657714844,155.37448120117188,138.51052856445312,363.009033203125,51.20541763305664,161.15528869628906,155.70249938964844,56.012306213378906,358.4732360839844,327.397216796875,306.9385986328125,539.8499755859375,27.35873031616211,162.36863708496094,49.867835998535156,149.91949462890625,182.9499969482422,352.7066650390625,448.6312561035156,207.53163146972656,62.0885124206543
2022-01-11,172.4477996826172,529.8900146484375,165.36199951171875,319.79998779296875,116.3926010131836,156.65435791015625,139.5758056640625,362.2688903808594,51.854644775390625,159.44215393066406,155.86068725585938,56.03084182739258,360.8177185058594,333.6842956542969,307.63201904296875,540.8400268554688,27.775102615356445,162.29403686523438,50.26685333251953,148.1823272705078,191.52000427246094,354.79998779296875,452.4905090332031,209.89117431640625,64.7000961303711
2022-01-12,172.8910369873047,532.3699951171875,165.20700073242188,320.3900146484375,115.81051635742188,156.56507873535156,141.2683563232422,364.82659912109375,51.69697570800781,158.0828399658203,156.74472045898438,56.1142578125,361.8224182128906,332.5765686035156,310.8452453613281,537.219970703125,27.95682716369629,162.11692810058594,50.231380462646484,148.50921630859375,187.1999969482422,368.739990234375,457.0443115234375,211.19332885742188,64.50967407226562
2022-01-13,169.60125732421875,516.9000244140625,161.21400451660156,321.260009765625,115.32846069335938,154.2235565185547,138.42813110351562,362.559326171875,50.95499801635742,157.1238555908203,156.54930114746094,56.44794464111328,363.9993896484375,325.81048583984375,297.68951416015625,519.2000122070312,26.53497314453125,162.3779296875,49.24714279174805,147.8367462158203,181.00999450683594,343.85333251953125,450.97564697265625,210.4981689453125,64.04718780517578
2022-01-14,170.46803283691406,520.5999755859375,162.13800048828125,324.1300048828125,117.29304504394531,150.7509307861328,139.3206024169922,348.5246276855469,51.65987777709961,156.26730346679688,146.92721557617188,56.90212631225586,366.5802917480469,331.2193603515625,302.9635925292969,525.6900024414062,26.901418685913086,163.73904418945312,48.723995208740234,149.2563934326172,178.4199981689453,349.8699951171875,452.1913757324219,210.17510986328125,65.171630859375
2022-01-18,167.24716186523438,513.3400268554688,158.91749572753906,320.2900085449219,117.67506408691406,151.07835388183594,135.84210205078125,343.57781982421875,50.788063049316406,155.57835388183594,140.76686096191406,56.44794464111328,360.8275146484375,317.49755859375,295.5896301269531,510.79998779296875,25.863985061645508,162.17288208007812,47.97917175292969,146.37977600097656,174.4600067138672,343.5033264160156,444.76239013671875,211.19332885742188,66.26886749267578
2022-01-19,163.73086547851562,516.5800170898438,156.2989959716797,314.75,117.24756622314453,148.9352569580078,134.96160888671875,336.9914855957031,49.73074722290039,155.0941925048828,138.5893096923828,56.54063415527344,355.3407897949219,318.9346008300781,296.2537841796875,515.8599853515625,25.02924346923828,163.3381805419922,47.4737548828125,151.3017578125,173.5500030517578,331.8833312988281,446.238525390625,210.18490600585938,66.29606628417969
2022-01-20,162.0366973876953,510.8500061035156,151.66749572753906,311.010009765625,116.82919311523438,146.46473693847656,133.15467834472656,327.51947021484375,48.265350341796875,153.8558807373047,137.4075469970703,56.30891799926758,358.5618591308594,315.91082763671875,294.5641784667969,508.25,24.113630294799805,162.1542205810547,47.925968170166016,152.1186981201172,173.27999877929688,332.0899963378906,446.7016906738281,209.86181640625,66.4411392211914
